fold_idx,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M)
1,0.5923269927490421,0.5582732698641428,0.6075044909442666,0.4552718812275841,0.589740270143893,0.5620992338687281,0.6064447737927923,0.4186447796425495
2,0.6364917265277468,0.6081673642718153,0.6393103907372736,0.46912907147301924,0.6325894072500443,0.6039005128554435,0.6301753743023906,0.3961326802023289
3,0.6623818937793375,0.6019955014244714,0.6564352805944709,0.49762845027971425,0.6597049958507359,0.6012158319528496,0.6526638930334603,0.46326183377018004
4,0.6766326966211261,0.517871381346821,0.590074213935633,0.43375753041841564,0.6740079847087593,0.51530571432646,0.5883114066398129,0.4054701680386588
5,0.710812430799187,0.5052702714323933,0.5726257805971722,0.4297658037960158,0.7133454448395924,0.5078298641539851,0.5765136753606958,0.40579180279309324
