fold_idx,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M)
1,0.8327826100375099,0.7991554519900612,0.8701151547205086,0.7440078580378253,0.8350101358299552,0.7988826096042593,0.8693096419190597,0.724973418733197
2,0.8689512433649943,0.8007235658393406,0.8767127299592042,0.7492916960543778,0.8684398226525346,0.8002401396711525,0.8763278691582729,0.7311825833192896
3,0.865700294320145,0.7863214360853295,0.8658146425990492,0.7410317479096019,0.8642417020202722,0.7875861070125695,0.8673184985967989,0.7209140059621573
4,0.8411066470254289,0.7899058958214193,0.8539273738753846,0.7191090736377171,0.8404608589875299,0.7892400061764089,0.8521767437528858,0.697665008992227
5,0.8093998328709779,0.806427716590231,0.8521309348634221,0.7234442877273322,0.8114589450775022,0.8084346692010297,0.8549262156053582,0.7061005657647781
