,model_version,F1(B),F1(M),mAP50(B),mAP50(M),mAP50-95(B),mAP50-95(M)
0,best_da,0.782957725,0.77655772,0.821404873,0.812859013,0.68899284,0.625050526
1,no_da,0.621220527,0.620790555,0.646614063,0.646392866,0.523911368,0.480039362
