                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0637,                 1.5868,                 2.5149,                 1.0502,                0.34599,                0.25136,                0.22691,                0.15198,                 0.3523,                0.25835,                 0.2286,                0.14587,                 1.5626,                 2.2488,                 2.5926,                 1.3332,               0.076815,              0.0099363,              0.0099363
                      1,                 1.1887,                 1.6411,                 1.8992,                  1.057,                0.45348,                0.28117,                0.28863,                0.18158,                0.45114,                0.27733,                0.28085,                0.17473,                 1.3443,                 1.9687,                 2.2007,                 1.1444,               0.053383,               0.019838,               0.019838
                      2,                 1.4393,                 1.9545,                 2.2248,                 1.1529,                0.35957,                 0.2112,                0.18144,                 0.1027,                0.36518,                 0.2109,                0.18284,                0.10539,                 1.5787,                 2.4393,                 3.1652,                  1.288,               0.029852,                0.02964,                0.02964
                      3,                 1.4721,                   1.97,                 2.2393,                 1.1764,                0.38391,                0.26286,                 0.1869,                0.10245,                0.38548,                0.26158,                0.18406,                0.10537,                 1.5349,                 2.1787,                 3.2707,                 1.2737,               0.029554,               0.029554,               0.029554
                      4,                 1.3869,                 1.8921,                 1.8363,                 1.1526,                0.45241,                0.33738,                0.33596,                 0.2058,                0.45497,                0.34153,                 0.3373,                 0.1997,                 1.3823,                 1.8236,                 1.9576,                 1.1774,               0.029554,               0.029554,               0.029554
                      5,                 1.3439,                 1.7985,                 1.7315,                 1.1382,                0.57032,                 0.4412,                0.46633,                0.30381,                0.57426,                0.44164,                0.46741,                0.29382,                 1.1888,                 1.4707,                 1.6608,                 1.0983,               0.029406,               0.029406,               0.029406
                      6,                 1.2744,                 1.7103,                 1.5994,                 1.1179,                0.63559,                0.42572,                 0.4705,                0.30684,                0.63669,                0.42769,                0.46808,                  0.297,                 1.1895,                 1.5493,                 1.5555,                 1.1002,               0.029257,               0.029257,               0.029257
                      7,                 1.2198,                 1.6475,                 1.5375,                 1.0961,                0.59404,                0.47834,                0.49394,                0.33022,                0.59937,                0.47368,                0.49367,                0.32525,                 1.1181,                 1.3001,                 1.6353,                 1.0619,               0.029109,               0.029109,               0.029109
                      8,                 1.1887,                 1.5903,                  1.448,                 1.0822,                0.68788,                0.49366,                0.56918,                0.39125,                0.68383,                0.49313,                0.56365,                0.37025,                 1.0613,                 1.3568,                 1.3008,                 1.0365,                0.02896,                0.02896,                0.02896
                      9,                  1.167,                 1.5692,                 1.4222,                 1.0757,                0.69369,                0.49217,                0.55609,                 0.3766,                 0.6847,                0.48907,                0.54814,                0.35465,                 1.1152,                  1.349,                  1.496,                 1.0775,               0.028812,               0.028812,               0.028812
                     10,                  1.139,                 1.4616,                 1.3396,                 1.0632,                0.62271,                0.54197,                0.57285,                0.39659,                0.62305,                0.53717,                0.56569,                0.36979,                 1.0551,                 1.3449,                  1.276,                 1.0447,               0.028663,               0.028663,               0.028663
                     11,                 1.1051,                 1.4585,                 1.3052,                 1.0527,                0.65736,                0.60972,                0.64667,                0.46753,                0.65085,                0.60845,                0.63875,                0.42774,                0.93722,                 1.1391,                 1.1116,                0.98893,               0.028515,               0.028515,               0.028515
                     12,                 1.0923,                 1.4403,                 1.2791,                 1.0431,                 0.6368,                0.61883,                0.64546,                0.46678,                0.63504,                 0.6114,                0.63789,                 0.4308,                0.96689,                 1.1457,                  1.115,                 1.0014,               0.028366,               0.028366,               0.028366
                     13,                 1.1014,                 1.4544,                 1.2784,                 1.0426,                0.72944,                0.57703,                0.66147,                0.49191,                0.73996,                0.57434,                0.66064,                0.45625,                0.90351,                 1.0749,                 1.0973,                0.97378,               0.028218,               0.028218,               0.028218
                     14,                 1.0611,                 1.3993,                 1.2334,                 1.0336,                0.70449,                0.61515,                0.67954,                0.49936,                0.70478,                0.60903,                0.67075,                0.45446,                0.90297,                 1.0911,                 1.0069,                0.97586,                0.02807,                0.02807,                0.02807
                     15,                 1.0622,                  1.427,                 1.2048,                 1.0299,                0.72192,                0.61545,                0.70629,                0.51791,                0.72112,                0.61369,                0.69821,                0.47265,                0.90731,                 1.0691,                 1.0204,                0.97422,               0.027921,               0.027921,               0.027921
                     16,                 1.0477,                 1.3826,                 1.1748,                   1.02,                0.74894,                0.65391,                0.72458,                 0.5362,                 0.7534,                 0.6454,                0.71548,                0.49048,                0.89066,                 1.0467,                0.97265,                0.96955,               0.027773,               0.027773,               0.027773
                     17,                 1.0274,                 1.3418,                 1.1443,                 1.0148,                0.76711,                0.62105,                0.73089,                0.53913,                0.76483,                0.61739,                0.72082,                 0.5017,                0.88904,                 1.0122,                0.94181,                0.97277,               0.027624,               0.027624,               0.027624
                     18,                  1.017,                 1.3411,                 1.1302,                 1.0099,                0.72647,                0.67949,                 0.7297,                0.54314,                0.72309,                0.67502,                 0.7223,                0.50188,                0.85876,                 1.0039,                0.94319,                0.95898,               0.027475,               0.027475,               0.027475
                     19,                 1.0086,                 1.3153,                 1.1205,                 1.0071,                0.74944,                0.65955,                0.73614,                0.54865,                0.74538,                0.65389,                0.72474,                0.50343,                0.86668,                  1.009,                0.90708,                0.95714,               0.027327,               0.027327,               0.027327
                     20,                 1.0126,                 1.3161,                 1.0873,                   1.01,                0.72879,                0.70165,                 0.7486,                0.56043,                0.72381,                0.69944,                0.74045,                 0.5129,                0.83451,                0.97021,                 0.8856,                0.94841,               0.027179,               0.027179,               0.027179
                     21,                 1.0028,                 1.3094,                 1.0947,                 1.0049,                0.78442,                0.66912,                0.75376,                0.56693,                 0.7817,                 0.6622,                0.74358,                0.51709,                0.86665,                0.98412,                0.87467,                0.95256,                0.02703,                0.02703,                0.02703
                     22,                  1.002,                 1.2806,                  1.086,                  1.002,                0.76843,                0.71427,                0.77058,                0.58571,                0.76499,                0.71045,                 0.7626,                0.52665,                0.83184,                0.97963,                0.85724,                0.94634,               0.026881,               0.026881,               0.026881
                     23,                0.99877,                 1.3017,                 1.0643,                 0.9994,                0.76097,                0.70763,                0.76964,                0.59132,                0.75678,                0.69998,                0.75946,                0.53852,                0.80623,                0.95635,                0.80843,                0.93998,               0.026733,               0.026733,               0.026733
                     24,                0.98364,                 1.2789,                 1.0404,                0.99797,                0.76828,                0.72252,                0.78273,                0.59832,                0.76369,                0.71839,                0.77359,                0.53651,                0.80664,                0.94554,                 0.8068,                 0.9371,               0.026585,               0.026585,               0.026585
                     25,                0.96528,                  1.266,                 1.0439,                 0.9942,                0.78601,                0.71189,                0.78666,                0.59972,                0.78408,                  0.707,                0.77868,                0.54161,                 0.8215,                0.97388,                0.82829,                 0.9417,               0.026436,               0.026436,               0.026436
                     26,                0.95563,                 1.2379,                 1.0138,                0.99143,                0.77505,                0.73133,                0.79145,                0.60556,                0.76843,                0.72549,                0.77834,                0.55279,                0.81411,                0.91591,                0.82154,                0.93687,               0.026287,               0.026287,               0.026287
                     27,                0.96538,                 1.2429,                 1.0283,                0.98762,                0.77182,                0.72173,                0.79438,                 0.6138,                0.77686,                0.72057,                0.78758,                0.55048,                0.80209,                0.91962,                0.78596,                 0.9373,               0.026139,               0.026139,               0.026139
                     28,                0.94649,                 1.2327,                  1.007,                0.98812,                0.78234,                 0.7366,                0.80596,                0.62398,                0.77698,                0.73012,                0.79572,                0.56706,                0.77659,                0.89612,                0.76448,                0.93514,                0.02599,                0.02599,                0.02599
                     29,                0.94863,                 1.2547,                  1.008,                 0.9911,                0.78081,                0.74106,                0.80494,                0.62937,                0.77414,                0.73433,                0.79484,                0.56893,                 0.7734,                0.91044,                0.74979,                0.92056,               0.025842,               0.025842,               0.025842
                     30,                0.93689,                 1.2381,                 1.0016,                0.98304,                0.82968,                 0.7264,                0.81676,                0.64124,                0.82778,                0.72156,                0.80796,                0.58208,                0.77507,                0.87993,                0.73744,                0.92636,               0.025693,               0.025693,               0.025693
                     31,                0.93034,                  1.188,                0.96435,                0.97671,                0.81781,                0.73771,                0.82579,                0.63808,                0.81799,                0.73276,                0.81777,                0.58508,                0.78477,                0.87934,                0.75264,                0.93075,               0.025545,               0.025545,               0.025545
                     32,                0.92987,                 1.1964,                0.96912,                 0.9809,                0.79865,                0.71962,                0.81113,                0.63256,                0.79265,                0.71331,                0.79971,                0.56851,                0.75916,                0.87155,                0.76991,                0.91793,               0.025396,               0.025396,               0.025396
                     33,                0.93512,                 1.1944,                 0.9632,                0.98157,                0.81055,                0.75236,                0.82864,                0.65138,                0.80637,                0.74988,                0.82086,                0.58965,                0.74956,                0.84112,                0.73028,                0.91707,               0.025248,               0.025248,               0.025248
                     34,                0.92367,                 1.1941,                0.96325,                0.97775,                 0.7998,                0.76173,                0.83277,                0.64982,                0.79904,                0.75297,                0.82367,                0.58005,                0.75986,                0.87452,                0.73208,                0.91971,                 0.0251,                 0.0251,                 0.0251
                     35,                0.90602,                 1.1823,                0.94875,                0.97088,                  0.835,                0.76133,                0.84094,                0.66354,                0.83034,                0.75731,                0.83306,                0.60367,                0.75515,                0.84038,                0.70517,                 0.9173,               0.024951,               0.024951,               0.024951
                     36,                0.89198,                 1.1528,                0.91213,                0.96334,                0.81614,                0.75033,                0.83481,                0.66112,                0.81259,                0.74487,                0.82593,                0.59593,                0.74961,                0.90047,                0.71682,                0.91549,               0.024802,               0.024802,               0.024802
                     37,                0.89796,                 1.1732,                0.91894,                0.96732,                0.82369,                0.76882,                0.83705,                0.65977,                0.82005,                0.76495,                0.82864,                0.59189,                0.74842,                0.82838,                0.72537,                0.91421,               0.024654,               0.024654,               0.024654
                     38,                0.90803,                 1.1638,                0.92592,                0.97044,                0.82165,                0.77487,                0.85185,                0.67938,                0.82091,                0.76573,                0.84187,                0.60466,                0.73044,                0.83061,                0.68896,                0.90491,               0.024505,               0.024505,               0.024505
                     39,                0.89372,                 1.1408,                0.90591,                0.96166,                0.84402,                0.78917,                0.86301,                0.69831,                0.84259,                0.78476,                0.85549,                0.62865,                 0.7146,                0.82569,                0.66646,                0.90691,               0.024357,               0.024357,               0.024357
                     40,                0.88486,                 1.1652,                0.89962,                0.96112,                0.84031,                0.76667,                0.85619,                0.68112,                0.83778,                0.76159,                0.84548,                0.61078,                0.73763,                 0.8385,                0.68046,                0.90839,               0.024208,               0.024208,               0.024208
                     41,                0.88523,                  1.124,                0.90423,                0.95926,                0.83523,                0.80119,                0.86441,                0.69156,                0.82285,                0.80082,                0.85269,                0.62525,                 0.7287,                0.81804,                0.65669,                0.90486,                0.02406,                0.02406,                0.02406
                     42,                0.88441,                 1.1341,                0.88288,                0.96108,                0.83067,                0.79354,                0.86084,                 0.6916,                0.82935,                0.78858,                0.85267,                0.62134,                0.71833,                0.81852,                0.67814,                0.90266,               0.023911,               0.023911,               0.023911
                     43,                0.89546,                 1.1576,                0.89703,                0.95847,                0.84518,                0.80051,                0.86794,                0.70507,                0.84209,                0.79779,                0.86046,                0.62972,                0.69955,                0.80102,                0.64204,                0.89711,               0.023763,               0.023763,               0.023763
                     44,                0.87402,                 1.1504,                0.89336,                 0.9578,                0.85496,                0.77941,                0.86492,                0.69911,                0.85849,                0.76589,                0.85469,                0.62186,                0.70016,                0.79459,                0.65919,                0.89733,               0.023615,               0.023615,               0.023615
                     45,                0.88708,                 1.1491,                0.87341,                0.96134,                0.85294,                0.80787,                0.87468,                0.70447,                0.84911,                0.79955,                0.86302,                0.62682,                0.71384,                0.80262,                0.63703,                0.90262,               0.023466,               0.023466,               0.023466
                     46,                0.87181,                 1.1378,                0.87655,                0.95625,                0.85303,                0.79549,                0.87259,                0.70416,                 0.8508,                0.79367,                0.86504,                0.63736,                0.70383,                0.78162,                0.62352,                0.89615,               0.023317,               0.023317,               0.023317
                     47,                 0.8797,                 1.1192,                0.86045,                0.95525,                0.86616,                0.80011,                0.87546,                0.71242,                0.86164,                0.79622,                0.86574,                0.63542,                0.68708,                0.77854,                0.64244,                0.88837,               0.023169,               0.023169,               0.023169
                     48,                0.85185,                 1.0963,                0.84655,                0.94388,                0.85508,                0.81953,                 0.8794,                0.71843,                0.84913,                0.81395,                0.86859,                0.63737,                0.69028,                0.78086,                0.62549,                0.89035,                0.02302,                0.02302,                0.02302
                     49,                0.85596,                 1.1032,                0.83854,                0.94627,                0.86171,                0.79907,                0.87626,                0.70959,                0.85996,                0.79319,                0.86551,                0.63212,                0.69566,                0.78039,                0.62854,                0.89042,               0.022872,               0.022872,               0.022872
