,Model size,Mean load times,mean inf times,std load times
0,nano,0.02340728441874186,0.17226654688517254,0.020770574675578055
1,small,0.022385279337565105,0.39670995076497395,0.01456688378402368
2,medium,0.035442781448364255,0.8731080849965414,0.014288476099953224
3,large,0.059595553080240886,1.6906027634938559,0.021066519959736386
4,extra-large,0.0756450335184733,2.6293723742167154,0.023495516086142254
