,Model size,Mean load times,mean inf times,std load times
0,nano,0.013542509078979493,0.13528666496276856,0.006099419748611945
1,small,0.022626781463623048,0.30609494845072427,0.01383363804612443
2,medium,0.035769955317179365,0.6866591453552247,0.018860849900682042
3,large,0.049821027119954425,1.2728989601135254,0.0190651022999389
4,extra-large,0.06089347203572591,2.1503351370493573,0.014630396211445733
