idx,Latitude,Longitude
0,39.533889418612574,2.5902391466579058
1,39.533889418612574,2.5902391466579058
2,39.533531371610444,2.5902305535641723
3,39.533531371610444,2.5902305535641723
4,39.53352810791919,2.5904573322319835
5,39.53352810791919,2.5904573322319835
6,39.533886154920886,2.5904659253694566
7,39.533886154920886,2.5904659253694566
8,39.53388891616007,2.5902740347341315
9,39.53388891616007,2.5902740347341315
10,39.53353086915791,2.5902654416404602
11,39.53353086915791,2.5902654416404602
12,39.53352760546664,2.5904922203066367
13,39.53352760546664,2.5904922203066367
14,39.53388565246838,2.5905008134440477
15,39.53388565246838,2.5905008134440477
16,39.53388841370756,2.5903089228101064
17,39.53388841370756,2.5903089228101064
18,39.533530366705364,2.5903003297164973
19,39.533530366705364,2.5903003297164973
20,39.5335271030141,2.590527108381039
21,39.5335271030141,2.590527108381039
22,39.53388515001586,2.5905357015183883
23,39.53388515001586,2.5905357015183883
24,39.533887911255036,2.5903438108858294
25,39.533887911255036,2.5903438108858294
26,39.53352986425282,2.590335217792282
27,39.53352986425282,2.590335217792282
28,39.53352660056155,2.590561996455189
29,39.53352660056155,2.590561996455189
30,39.533884647563355,2.5905705895924767
31,39.533884647563355,2.5905705895924767
32,39.533887408802535,2.5903786989613016
33,39.533887408802535,2.5903786989613016
34,39.53352936180027,2.5903701058678164
35,39.53352936180027,2.5903701058678164
36,39.533526098109,2.590596884529088
37,39.533526098109,2.590596884529088
38,39.533884145110825,2.590605477666313
39,39.533884145110825,2.590605477666313
40,39.533886906350006,2.590413587036522
41,39.533886906350006,2.590413587036522
42,39.53352885934772,2.5904049939430984
43,39.53352885934772,2.5904049939430984
44,39.53352559565645,2.590631772602736
45,39.53352559565645,2.590631772602736
46,39.53388364265831,2.5906403657398993
47,39.53388364265831,2.5906403657398993
48,39.5338864038975,2.5904484751114905
49,39.5338864038975,2.5904484751114905
50,39.533528356895175,2.590439882018129
51,39.533528356895175,2.590439882018129
52,39.53352509320391,2.5906666606761317
53,39.53352509320391,2.5906666606761317
54,39.5338831402058,2.590675253813233
55,39.5338831402058,2.590675253813233
56,39.53388590144499,2.5904833631862085
57,39.53388590144499,2.5904833631862085
58,39.533889418612574,2.5902391466579058
59,39.533889418612574,2.5902391466579058
60,39.53388992067963,2.59020425745098
61,39.53388992067963,2.59020425745098
62,39.53380040893125,2.5902021091692546
63,39.53380040893125,2.5902021091692546
64,39.5337928766688,2.5907254465444924
65,39.5337928766688,2.5907254465444924
66,39.53370336491891,2.5907232982657584
67,39.53370336491891,2.5907232982657584
68,39.53371089482536,2.5901999615060727
69,39.53371089482536,2.5901999615060727
70,39.5336213830742,2.5901978132298646
71,39.5336213830742,2.5901978132298646
72,39.533613850811534,2.5907211492609092
